date,fips,county,state,population,new_infected_mean,perc_current_infected_mean,perc_total_infected_mean
2020-12-14,05037,Cross,AR,16419,51.8137,0.0548948,0.268598
2020-12-14,47075,Haywood,TN,17304,46.2184,0.0548829,0.404196
2020-12-14,47111,Macon,TN,24602,58.376,0.0548314,0.345192
2020-12-14,40067,Jefferson,OK,6002,22.3854,0.0548313,0.216983
2020-12-14,20033,Comanche,KS,1700,2.98259,0.0545842,0.268127
2020-12-14,01091,Marengo,AL,18863,62.3204,0.0545577,0.315327
2020-12-14,47179,Washington,TN,129375,369.811,0.0545549,0.245365
2020-12-14,47101,Lewis,TN,12268,25.2115,0.0541761,0.291887
2020-12-14,47017,Carroll,TN,27767,85.0366,0.0541496,0.302825
2020-12-14,28057,Itawamba,MS,23390,99.271,0.0541458,0.356337
2020-12-14,28079,Leake,MS,22786,99.0228,0.0540897,0.357813
2020-12-14,48445,Terry,TX,12337,25.9691,0.0540782,0.365986
2020-12-14,47065,Hamilton,TN,367804,1182.01,0.0540397,0.239693
2020-12-14,21167,Mercer,KY,21933,47.4089,0.0540379,0.183826
2020-12-14,18007,Benton,IN,8748,19.9911,0.0540188,0.256299
2020-12-14,05111,Poinsett,AR,23528,80.767,0.0539437,0.325096
2020-12-14,18139,Rush,IN,16581,45.6772,0.0539217,0.20689
2020-12-14,51185,Tazewell,VA,40595,151.05,0.0537867,0.158173
2020-12-14,47009,Blount,TN,133088,410.532,0.0537013,0.227486
2020-12-14,47013,Campbell,TN,39842,142.706,0.0536815,0.207457
2020-12-14,48075,Childress,TX,7306,15.0545,0.0536534,0.537581
2020-12-14,47175,Van Buren,TN,5872,9.66506,0.0536071,0.291006
2020-12-14,20169,Saline,KS,54224,139.34,0.0533755,0.245777
2020-12-14,08061,Kiowa,CO,1406,3.39983,0.0532757,0.147165
2020-12-14,48337,Montague,TX,19818,44.9818,0.0531881,0.220439
2020-12-14,28007,Attala,MS,18174,69.8801,0.0531631,0.371115
2020-12-14,48127,Dimmit,TX,10124,26.7465,0.0530347,0.217485
2020-12-14,47131,Obion,TN,30069,78.8203,0.0530299,0.380488
2020-12-14,55078,Menominee,WI,4556,7.30468,0.052984,0.496824
2020-12-14,05049,Fulton,AR,12477,36.9067,0.0528976,0.214532
2020-12-14,39129,Pickaway,OH,58457,204.042,0.0527663,0.452021
2020-12-14,48077,Clay,TX,10471,33.7741,0.0527507,0.208106
2020-12-14,13241,Rabun,GA,17137,56.7912,0.0526881,0.20434
2020-12-14,18181,White,IN,24102,73.81,0.0526744,0.29546
2020-12-14,42123,Warren,PA,39191,129.986,0.0525813,0.106119
2020-12-14,47139,Polk,TN,16832,45.2486,0.0525465,0.214592
2020-12-14,30109,Wibaux,MT,969,1.40356,0.0525395,0.388135
2020-12-14,47171,Unicoi,TN,17883,54.2416,0.0525179,0.250215
2020-12-14,56043,Washakie,WY,7805,20.0341,0.0524716,0.308201
2020-12-14,47073,Hawkins,TN,56786,153.886,0.0524095,0.196726
2020-12-14,35031,McKinley,NM,71367,176.538,0.0521566,0.44921
2020-12-14,48303,Lubbock,TX,310569,872.674,0.0519907,0.451308
2020-12-14,28043,Grenada,MS,20758,45.9624,0.0519637,0.37544
2020-12-14,54031,Hardy,WV,13776,44.8785,0.051946,0.144551
2020-12-14,48399,Runnels,TX,10264,25.7113,0.0518668,0.283289
2020-12-14,28155,Webster,MS,9689,25.5994,0.0517299,0.28682
2020-12-14,21021,Boyle,KY,30060,125.38,0.051722,0.197276
2020-12-14,42047,Elk,PA,29910,103.457,0.051645,0.132092
2020-12-14,47165,Sumner,TN,191283,527.257,0.0515894,0.268081
2020-12-14,05029,Conway,AR,20846,72.1675,0.0513973,0.19285
2020-12-14,47081,Hickman,TN,25178,68.5646,0.0513052,0.234908
2020-12-14,20017,Chase,KS,2648,3.52098,0.0510889,0.288445
2020-12-14,48093,Comanche,TX,13635,29.9195,0.051023,0.264887
2020-12-14,40069,Johnston,OK,11085,30.9267,0.0507934,0.233891
2020-12-14,18165,Vermillion,IN,15498,43.1356,0.0507894,0.226966
2020-12-14,40021,Cherokee,OK,48657,110.963,0.0507807,0.240029
2020-12-14,17051,Fayette,IL,21336,34.0338,0.0506548,0.351511
2020-12-14,47181,Wayne,TN,16673,47.8169,0.0505881,0.464735
2020-12-14,47083,Houston,TN,8201,22.9253,0.0505611,0.303455
2020-12-14,47093,Knox,TN,470313,1381.6,0.0505603,0.213695
2020-12-14,40001,Adair,OK,22194,54.0318,0.0505595,0.274325
2020-12-14,42053,Forest,PA,7247,32.6637,0.0504359,0.11949
2020-12-14,21217,Taylor,KY,25769,41.4997,0.0503621,0.201792
2020-12-14,28081,Lee,MS,85436,266.986,0.0502306,0.329065
2020-12-14,20159,Rice,KS,9537,20.5774,0.0501674,0.254324
2020-12-14,47019,Carter,TN,56391,165.926,0.050164,0.244255
2020-12-14,02150,Kodiak Island,AK,12998,28.1771,0.0501076,0.164265
2020-12-14,48487,Wilbarger,TX,12769,25.1041,0.0500085,0.323272
2020-12-14,47089,Jefferson,TN,54495,172.341,0.0499849,0.219062
2020-12-14,01103,Morgan,AL,119679,381.183,0.0498964,0.280505
2020-12-14,39043,Erie,OH,74266,188.125,0.0498616,0.20072
2020-12-14,04003,Cochise,AZ,125922,453.57,0.049847,0.186659
2020-12-14,17053,Ford,IL,12961,30.235,0.049779,0.269555
2020-12-14,47167,Tipton,TN,61599,177.308,0.0497775,0.282622
2020-12-14,05109,Pike,AR,10718,44.3459,0.0497715,0.200676
2020-12-14,08043,Fremont,CO,47839,164.636,0.0496862,0.267623
2020-12-14,48173,Glasscock,TX,1409,6.88286,0.0496589,0.247833
2020-12-14,13157,Jackson,GA,72977,233.717,0.0496381,0.242375
2020-12-14,47183,Weakley,TN,33328,88.3633,0.0494576,0.288866
2020-12-14,40137,Stephens,OK,43143,141.833,0.0493961,0.210779
2020-12-14,40123,Pontotoc,OK,38284,132.175,0.0491654,0.250639
2020-12-14,30071,Phillips,MT,3954,11.0167,0.0490349,0.349879
2020-12-14,01007,Bibb,AL,22394,61.5475,0.0489802,0.260283
2020-12-14,19021,Buena Vista,IA,19620,47.0539,0.0489699,0.66506
2020-12-14,40149,Washita,OK,10916,35.5526,0.0488554,0.212352
2020-12-14,42129,Westmoreland,PA,348899,858.841,0.0487657,0.165124
2020-12-14,21057,Cumberland,KY,6614,8.3635,0.0487333,0.183971
2020-12-14,40039,Custer,OK,29003,103.04,0.04872,0.320238
2020-12-14,18045,Fountain,IN,16346,43.0568,0.0487165,0.267076
2020-12-14,17185,Wabash,IL,11520,18.5721,0.0486668,0.247809
2020-12-14,13137,Habersham,GA,45328,138.675,0.0486259,0.278865
2020-12-14,48319,Mason,TX,4274,12.6152,0.0486215,0.200093
2020-12-14,40085,Love,OK,10253,29.9142,0.0486087,0.274094
2020-12-14,51135,Nottoway,VA,15232,55.8136,0.0485977,0.214971
2020-12-14,16055,Kootenai,ID,165697,376.84,0.0485948,0.250881
2020-12-14,48353,Nolan,TX,14714,32.4283,0.0484998,0.26028
2020-12-14,40141,Tillman,OK,7250,20.8192,0.0484989,0.240896
2020-12-14,47095,Lake,TN,7016,17.6978,0.0484913,0.76097
2020-12-14,48207,Haskell,TX,5658,7.23408,0.0484665,0.182766
2020-12-14,18161,Union,IN,7054,21.1118,0.0484142,0.203406
2020-12-14,18131,Pulaski,IN,12353,31.5301,0.0484138,0.20642
2020-12-14,42013,Blair,PA,121829,295.767,0.0483836,0.191183
2020-12-14,19117,Lucas,IA,8600,29.0168,0.048344,0.199165
2020-12-14,48329,Midland,TX,176832,514.323,0.0483165,0.223582
2020-12-14,32015,Lander,NV,5532,10.6936,0.0482654,0.230704
2020-12-14,27115,Pine,MN,29579,34.1539,0.0481416,0.23761
2020-12-14,40105,Nowata,OK,10076,26.1011,0.0481316,0.218894
2020-12-14,47109,McNairy,TN,25694,81.6011,0.0481243,0.246424
2020-12-14,28013,Calhoun,MS,14361,64.8715,0.0480718,0.307689
2020-12-14,39051,Fulton,OH,42126,111.615,0.0480689,0.195059
2020-12-14,42061,Huntingdon,PA,45144,147.726,0.0480157,0.200715
2020-12-14,39039,Defiance,OH,38087,95.2562,0.048004,0.218518
2020-12-14,54077,Preston,WV,33432,119.256,0.0479636,0.126912
2020-12-14,20153,Rawlins,KS,2530,6.72187,0.047961,0.392343
2020-12-14,54009,Brooke,WV,21939,64.032,0.0479519,0.162922
2020-12-14,47023,Chester,TN,17297,56.2487,0.0478955,0.269738
2020-12-14,46105,Perkins,SD,2865,9.62058,0.0478389,0.322157
2020-12-14,18065,Henry,IN,47972,150.992,0.0476478,0.258015
2020-12-14,16061,Lewis,ID,3838,7.84951,0.0476443,0.299348
2020-12-14,18115,Ohio,IN,5875,18.4182,0.0476184,0.201488
2020-12-14,40023,Choctaw,OK,14672,43.9787,0.0475847,0.227566
2020-12-14,42121,Venango,PA,50668,131.876,0.0474887,0.136842
2020-12-14,35045,San Juan,NM,123958,341.802,0.0474712,0.250605
2020-12-14,18171,Warren,IN,8265,16.6913,0.0474424,0.181012
2020-12-14,21087,Green,KY,10941,19.6161,0.047395,0.21211
2020-12-14,39143,Sandusky,OH,58518,140.754,0.0473659,0.185149
2020-12-14,01073,Jefferson,AL,658573,1906.73,0.0473448,0.254276
2020-12-14,21001,Adair,KY,19202,17.0508,0.0473441,0.208514
2020-12-14,40117,Pawnee,OK,16376,38.3718,0.0473175,0.207443
2020-12-14,01057,Fayette,AL,16302,39.2856,0.047255,0.276368
2020-12-14,29159,Pettis,MO,42339,40.1095,0.047172,0.315822
2020-12-14,48009,Archer,TX,8553,23.0231,0.0471683,0.197953
2020-12-14,47163,Sullivan,TN,158348,386.814,0.047136,0.211242
2020-12-14,48435,Sutton,TX,3776,10.1956,0.0471141,0.354448
2020-12-14,06053,Monterey,CA,434061,1292.14,0.0471112,0.177035
2020-12-14,17055,Franklin,IL,38469,108.804,0.0469776,0.237176
2020-12-14,06031,Kings,CA,152940,439.474,0.0469753,0.311733
2020-12-14,05123,St. Francis,AR,24994,62.5659,0.0469729,0.386157
2020-12-14,51005,Alleghany,VA,14860,50.7434,0.0468949,0.143647
2020-12-14,42021,Cambria,PA,130192,266.752,0.0468795,0.202144
2020-12-14,35019,Guadalupe,NM,4300,7.24648,0.0468476,0.194314
2020-12-14,46043,Douglas,SD,2921,6.52349,0.0468169,0.434776
2020-12-14,13005,Bacon,GA,11164,44.3741,0.0467853,0.324375
2020-12-14,39139,Richland,OH,121154,291.077,0.0467634,0.190016
2020-12-14,18107,Montgomery,IN,38338,84.6921,0.0467529,0.224449
2020-12-14,20073,Greenwood,KS,5982,8.41878,0.046742,0.224697
2020-12-14,47113,Madison,TN,97984,245.441,0.0467099,0.255356
2020-12-14,40073,Kingfisher,OK,15765,50.1666,0.046629,0.274435
2020-12-14,42119,Union,PA,44923,146.654,0.0465784,0.190497
2020-12-14,30021,Dawson,MT,8613,14.4359,0.0465558,0.356063
2020-12-14,47187,Williamson,TN,238412,740.573,0.0465466,0.237611
2020-12-14,16079,Shoshone,ID,12882,25.8963,0.0464564,0.217108
2020-12-14,06029,Kern,CA,900202,2597.56,0.046448,0.219531
2020-12-14,05115,Pope,AR,64072,207.252,0.0463872,0.275945
2020-12-14,20113,McPherson,KS,28542,23.9855,0.0463493,0.263451
2020-12-14,39067,Harrison,OH,15040,33.0199,0.0462055,0.133691
2020-12-14,42087,Mifflin,PA,46138,115.237,0.0462038,0.222316
2020-12-14,40033,Cotton,OK,5666,15.4082,0.0461962,0.24222
2020-12-14,28031,Covington,MS,18636,48.5372,0.0461923,0.382709
2020-12-14,35025,Lea,NM,71070,151.422,0.0461861,0.26961
2020-12-14,01043,Cullman,AL,83768,221.825,0.0461535,0.263342
2020-12-14,48409,San Patricio,TX,66730,128.286,0.0461248,0.162747
2020-12-14,18067,Howard,IN,82544,194.366,0.0461129,0.242602
2020-12-14,05117,Prairie,AR,8062,30.4006,0.0461094,0.214694
2020-12-14,01049,DeKalb,AL,71513,153.68,0.0460922,0.314605
2020-12-14,21051,Clay,KY,19901,75.0181,0.0460728,0.233181
2020-12-14,04015,Mohave,AZ,212181,679.123,0.0460651,0.182491
2020-12-14,42127,Wayne,PA,51361,166.502,0.046046,0.107826
2020-12-14,47037,Davidson,TN,694144,1887.71,0.0460405,0.293927
2020-12-14,04019,Pima,AZ,1.04728e+06,3147.96,0.0460004,0.214489
2020-12-14,45033,Dillon,SC,30479,84.6024,0.0459696,0.25197
2020-12-14,47173,Union,TN,19972,39.6487,0.045918,0.189359
2020-12-14,06101,Sutter,CA,96971,246.119,0.0458701,0.186789
2020-12-14,01009,Blount,AL,57826,119.534,0.0458508,0.255656
2020-12-14,47045,Dyer,TN,37159,86.4425,0.0457926,0.359425
2020-12-14,42067,Juniata,PA,24763,56.2275,0.0457455,0.17802
2020-12-14,17183,Vermilion,IL,75758,182.942,0.0457229,0.229354
2020-12-14,05055,Greene,AR,45325,120.619,0.0457099,0.312338
2020-12-14,28095,Monroe,MS,35252,98.4549,0.045627,0.322568
2020-12-14,48433,Stonewall,TX,1350,5.59801,0.0456168,0.191861
2020-12-14,39171,Williams,OH,36692,77.0975,0.0455623,0.191041
2020-12-14,42083,McKean,PA,40625,109.547,0.0454639,0.117114
2020-12-14,19135,Monroe,IA,7707,23.2141,0.0454182,0.263758
2020-12-14,21137,Lincoln,KY,24549,63.6703,0.0453958,0.17427
2020-12-14,48317,Martin,TX,5771,13.2343,0.0452881,0.309937
2020-12-14,13139,Hall,GA,204441,571.419,0.0452444,0.321395
2020-12-14,28099,Neshoba,MS,29118,87.4842,0.0452385,0.413449
2020-12-14,40131,Rogers,OK,92459,230.363,0.0452219,0.223
2020-12-14,54027,Hampshire,WV,23175,56.2114,0.0451748,0.1104
2020-12-14,40139,Texas,OK,19983,46.4856,0.0451669,0.49456
2020-12-14,21133,Letcher,KY,21553,58.825,0.0451658,0.138608
2020-12-14,40049,Garvin,OK,27711,85.4746,0.0451291,0.261891
2020-12-14,48505,Zapata,TX,14179,29.0907,0.0451128,0.225918
2020-12-14,42009,Bedford,PA,47888,86.2663,0.0450274,0.185707
2020-12-14,40009,Beckham,OK,21859,64.4812,0.0449776,0.275833
2020-12-14,47047,Fayette,TN,41133,113.45,0.0449483,0.256456
2020-12-14,40153,Woodward,OK,20211,54.9376,0.0449302,0.386715
2020-12-14,17189,Washington,IL,13887,31.8126,0.0449121,0.241434
2020-12-14,18159,Tipton,IN,15148,35.1089,0.0447995,0.209563
2020-12-14,40057,Harmon,OK,2653,2.25169,0.0447346,0.249529
2020-12-14,42007,Beaver,PA,163929,326.875,0.0447237,0.16351
2020-12-14,42033,Clearfield,PA,79255,219.073,0.0446464,0.145116
2020-12-14,18151,Steuben,IN,34594,97.1307,0.0446199,0.22245
2020-12-14,42059,Greene,PA,36233,103.954,0.0445967,0.134346
2020-12-14,51015,Augusta,VA,75558,168.524,0.0445351,0.124008
2020-12-14,13257,Stephens,GA,25925,67.3397,0.0444744,0.291486
2020-12-14,48385,Real,TX,3452,12.7156,0.0444306,0.224977
2020-12-14,01075,Lamar,AL,13805,29.7093,0.0444158,0.243682
2020-12-14,45077,Pickens,SC,126884,342.746,0.0444157,0.248275
2020-12-14,08097,Pitkin,CO,17767,49.7012,0.0444109,0.181098
2020-12-14,48163,Frio,TX,20306,35.563,0.0443543,0.312468
2020-12-14,39033,Crawford,OH,41494,81.6791,0.0443064,0.194009
2020-12-14,05053,Grant,AR,18265,63.5134,0.044265,0.179619
2020-12-14,01015,Calhoun,AL,113605,278.029,0.0442379,0.268212
2020-12-14,18125,Pike,IN,12389,34.7123,0.0442373,0.210515
2020-12-14,01001,Autauga,AL,55869,135.445,0.0442212,0.243387
2020-12-14,48427,Starr,TX,64633,174.848,0.0442189,0.334757
2020-12-14,42107,Schuylkill,PA,141359,411.387,0.0441797,0.171515
2020-12-14,51790,Staunton,VA,24932,86.0724,0.0441611,0.182451
2020-12-14,38011,Bowman,ND,3024,4.32713,0.0441369,0.284877
2020-12-14,48139,Ellis,TX,184826,486.63,0.0441284,0.232674
2020-12-14,06069,San Benito,CA,62808,199.436,0.044049,0.162435
2020-12-14,20143,Ottawa,KS,5704,7.9967,0.0440402,0.227587
2020-12-14,48497,Wise,TX,69984,184.436,0.0440077,0.189962
2020-12-14,55053,Jackson,WI,20643,49.3664,0.0439956,0.36434
